name,type_name,parent,status,rank,address
Aquisphaera,Aquisphaera,Isosphaeraceae,correct name,genus,https://lpsn.dsmz.de/genus/aquisphaera
Pseudoxanthobacter,Pseudoxanthobacter,Pseudoxanthobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/pseudoxanthobacter
Janthinobacterium,Janthinobacterium,Oxalobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/janthinobacterium
Granulicoccus,Granulicoccus,Propionibacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/granulicoccus
Acidibacter,Acidibacter,[Gammaproteobacteria; not assigned to family],correct name,genus,https://lpsn.dsmz.de/genus/acidibacter
Duganella,Duganella,Oxalobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/duganella
Asprobacter,Asprobacter,Hyphomonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/asprobacter
Lentilactobacillus,Lentilactobacillus,Lactobacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/lentilactobacillus
Kiloniella,Kiloniella,Kiloniellaceae,correct name,genus,https://lpsn.dsmz.de/genus/kiloniella
Pseudothioclava,Pseudothioclava,Paracoccaceae,correct name,genus,https://lpsn.dsmz.de/genus/pseudothioclava
Marinomonas,Marinomonas,Oceanospirillaceae,correct name,genus,https://lpsn.dsmz.de/genus/marinomonas
Lutibaculum,Lutibaculum,Tepidamorphaceae,correct name,genus,https://lpsn.dsmz.de/genus/lutibaculum
Carboxydothermus,Carboxydothermus,Thermoanaerobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/carboxydothermus
Caulobacter,Caulobacter,Caulobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/caulobacter
Raoultibacter,Raoultibacter,Eggerthellaceae,correct name,genus,https://lpsn.dsmz.de/genus/raoultibacter
Phaeovibrio,Phaeovibrio,Rhodospirillaceae,correct name,genus,https://lpsn.dsmz.de/genus/phaeovibrio
Oceanispirochaeta,Oceanispirochaeta,Spirochaetaceae,correct name,genus,https://lpsn.dsmz.de/genus/oceanispirochaeta
Thermosulfuriphilus,Thermosulfuriphilus,[Thermodesulfobacteriota; not assigned to family],correct name,genus,https://lpsn.dsmz.de/genus/thermosulfuriphilus
Methylohalomonas,Methylohalomonas,Ectothiorhodospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/methylohalomonas
Phytobacter,Phytobacter,Enterobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/phytobacter
Bellilinea,Bellilinea,Anaerolineaceae,correct name,genus,https://lpsn.dsmz.de/genus/bellilinea
Leeuwenhoekiella,Leeuwenhoekiella,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/leeuwenhoekiella
Desulfohalovibrio,Desulfohalovibrio,Desulfovibrionaceae,correct name,genus,https://lpsn.dsmz.de/genus/desulfohalovibrio
Lysinibacter,Lysinibacter,Microbacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/lysinibacter
Muriiphilus,Muriiphilus,Paracoccaceae,correct name,genus,https://lpsn.dsmz.de/genus/muriiphilus
Pseudobutyrivibrio,Pseudobutyrivibrio,Lachnospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/pseudobutyrivibrio
Anaerofustis,Anaerofustis,Eubacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/anaerofustis
Pseudohoeflea,Pseudohoeflea,Phyllobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/pseudohoeflea
Marinitenerispora,Marinitenerispora,Nocardiopsidaceae,correct name,genus,https://lpsn.dsmz.de/genus/marinitenerispora
Desulfatirhabdium,Desulfatirhabdium,Desulfobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/desulfatirhabdium
Blastopirellula,Blastopirellula,Pirellulaceae,correct name,genus,https://lpsn.dsmz.de/genus/blastopirellula
Weissella,Weissella,Leuconostocaceae,correct name,genus,https://lpsn.dsmz.de/genus/weissella
Agaricicola,Agaricicola,Roseobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/agaricicola
Ancalomicrobium,Ancalomicrobium,Ancalomicrobiaceae,correct name,genus,https://lpsn.dsmz.de/genus/ancalomicrobium
Fermentibacillus,Fermentibacillus,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/fermentibacillus
Caldilinea,Caldilinea,Caldilineaceae,correct name,genus,https://lpsn.dsmz.de/genus/caldilinea
Conexivisphaera,Conexivisphaera,Thermoproteaceae,correct name,genus,https://lpsn.dsmz.de/genus/conexivisphaera
Aggregatilinea,Aggregatilinea,Aggregatilineaceae,correct name,genus,https://lpsn.dsmz.de/genus/aggregatilinea
Polynucleobacter,Polynucleobacter,Burkholderiaceae,correct name,genus,https://lpsn.dsmz.de/genus/polynucleobacter
Halomicrobium,Halomicrobium,Haloarculaceae,correct name,genus,https://lpsn.dsmz.de/genus/halomicrobium
Geodermatophilus,Geodermatophilus,Geodermatophilaceae,correct name,genus,https://lpsn.dsmz.de/genus/geodermatophilus
Fretibacter,Fretibacter,Hyphomonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/fretibacter
Desemzia,Desemzia,Carnobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/desemzia
Antarctobacter,Antarctobacter,Roseobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/antarctobacter
Longilinea,Longilinea,Anaerolineaceae,correct name,genus,https://lpsn.dsmz.de/genus/longilinea
Salegentibacter,Salegentibacter,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/salegentibacter
Adhaeribacter,Adhaeribacter,Hymenobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/adhaeribacter
Vitreimonas,Vitreimonas,Hyphomonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/vitreimonas
Radiobacillus,Radiobacillus,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/radiobacillus
Gallionella,Gallionella,Gallionellaceae,correct name,genus,https://lpsn.dsmz.de/genus/gallionella
Simkania,Simkania,Simkaniaceae,correct name,genus,https://lpsn.dsmz.de/genus/simkania
Vicingus,Vicingus,Cryomorphaceae,correct name,genus,https://lpsn.dsmz.de/genus/vicingus
Duncaniella,Duncaniella,Muribaculaceae,correct name,genus,https://lpsn.dsmz.de/genus/duncaniella
Oryzihumus,Oryzihumus,Intrasporangiaceae,correct name,genus,https://lpsn.dsmz.de/genus/oryzihumus
Kribbia,Kribbia,Intrasporangiaceae,correct name,genus,https://lpsn.dsmz.de/genus/kribbia
Parageobacillus,Parageobacillus,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/parageobacillus
Melghiribacillus,Melghiribacillus,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/melghiribacillus
Faecalibacterium,Faecalibacterium,Oscillospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/faecalibacterium
Oligella,Oligella,Alcaligenaceae,correct name,genus,https://lpsn.dsmz.de/genus/oligella
Methanothrix,Methanothrix,Methanosaetaceae,correct name,genus,https://lpsn.dsmz.de/genus/methanothrix
Planctobacterium,Planctobacterium,Alteromonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/planctobacterium
Thiobacillus,Thiobacillus,Thiobacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/thiobacillus
Pelagibaculum,Pelagibaculum,Alcanivoracaceae,correct name,genus,https://lpsn.dsmz.de/genus/pelagibaculum
Methyloglobulus,Methyloglobulus,Methylococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/methyloglobulus
Lacibacterium,Lacibacterium,Azospirillaceae,correct name,genus,https://lpsn.dsmz.de/genus/lacibacterium
Mariniplasma,Mariniplasma,Acholeplasmataceae,correct name,genus,https://lpsn.dsmz.de/genus/mariniplasma
Neomicrococcus,Neomicrococcus,Micrococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/neomicrococcus
Myroides,Myroides,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/myroides
Epidermidibacterium,Epidermidibacterium,Antricoccaceae,correct name,genus,https://lpsn.dsmz.de/genus/epidermidibacterium
Paucimonas,Paucimonas,Burkholderiaceae,correct name,genus,https://lpsn.dsmz.de/genus/paucimonas
Nonlabens,Nonlabens,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/nonlabens
Desulfofarcimen,Desulfofarcimen,Peptococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/desulfofarcimen
Micrococcus,Micrococcus,Micrococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/micrococcus
Anaerobacillus,Anaerobacillus,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/anaerobacillus
Anoxybacillus,Anoxybacillus,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/anoxybacillus
Balneatrix,Balneatrix,Balneatricaceae,correct name,genus,https://lpsn.dsmz.de/genus/balneatrix
Allostreptomyces,Allostreptomyces,Streptomycetaceae,correct name,genus,https://lpsn.dsmz.de/genus/allostreptomyces
Halogranum,Halogranum,Haloferacaceae,correct name,genus,https://lpsn.dsmz.de/genus/halogranum
Berryella,Berryella,Eggerthellaceae,correct name,genus,https://lpsn.dsmz.de/genus/berryella
Ancylobacter,Ancylobacter,Xanthobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/ancylobacter
Falsiporphyromonas,Falsiporphyromonas,Porphyromonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/falsiporphyromonas
Haloquadratum,Haloquadratum,Haloferacaceae,correct name,genus,https://lpsn.dsmz.de/genus/haloquadratum
Rhodopseudomonas,Rhodopseudomonas,Nitrobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/rhodopseudomonas
Ideonella,Ideonella,Comamonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/ideonella
Maledivibacter,Maledivibacter,Peptostreptococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/maledivibacter
Neisseria,Neisseria,Neisseriaceae,correct name,genus,https://lpsn.dsmz.de/genus/neisseria
Desulfonatronum,Desulfonatronum,Desulfonatronaceae,correct name,genus,https://lpsn.dsmz.de/genus/desulfonatronum
Terricaulis,Terricaulis,Caulobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/terricaulis
Salilacibacter,Salilacibacter,Glycomycetaceae,correct name,genus,https://lpsn.dsmz.de/genus/salilacibacter
Arcicella,Arcicella,Spirosomataceae,correct name,genus,https://lpsn.dsmz.de/genus/arcicella
Candidimonas,Candidimonas,Alcaligenaceae,correct name,genus,https://lpsn.dsmz.de/genus/candidimonas
Pseudacidovorax,Pseudacidovorax,Comamonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/pseudacidovorax
Bombella,Bombella,Acetobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/bombella
Rarobacter,Rarobacter,Rarobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/rarobacter
Criibacterium,Criibacterium,Peptostreptococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/criibacterium
Sinosporangium,Sinosporangium,Streptosporangiaceae,correct name,genus,https://lpsn.dsmz.de/genus/sinosporangium
Roseithermus,Roseithermus,Salisaetaceae,correct name,genus,https://lpsn.dsmz.de/genus/roseithermus
Azovibrio,Azovibrio,Rhodocyclaceae,correct name,genus,https://lpsn.dsmz.de/genus/azovibrio
Parasphingorhabdus,Parasphingorhabdus,Sphingomonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/parasphingorhabdus
Huintestinicola,Huintestinicola,Oscillospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/huintestinicola
Alteribacter,Alteribacter,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/alteribacter
Xanthomonas,Xanthomonas,Lysobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/xanthomonas
Brevibacillus,Brevibacillus,Paenibacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/brevibacillus
Qipengyuania,Qipengyuania,Erythrobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/qipengyuania
Actinotalea,Actinotalea,Cellulomonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/actinotalea
Nicolia,Nicolia,Lactobacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/nicolia
Sulfurisoma,Sulfurisoma,Sterolibacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/sulfurisoma
Denitrobaculum,Denitrobaculum,Rhodospirillaceae,correct name,genus,https://lpsn.dsmz.de/genus/denitrobaculum
Catonella,Catonella,Lachnospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/catonella
Aureivirga,Aureivirga,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/aureivirga
Geoalkalibacter,Geoalkalibacter,Desulfuromonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/geoalkalibacter
Coralloluteibacterium,Coralloluteibacterium,Lysobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/coralloluteibacterium
Sutcliffiella,Sutcliffiella,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/sutcliffiella
Salinovum,Salinovum,Roseobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/salinovum
Fodinicola,Fodinicola,Cryptosporangiaceae,correct name,genus,https://lpsn.dsmz.de/genus/fodinicola
Hydrogeniiclostidium,Hydrogeniiclostidium,Oscillospiraceae,misspelling,genus,https://lpsn.dsmz.de/genus/hydrogeniiclostidium
Providencia,Providencia,Morganellaceae,correct name,genus,https://lpsn.dsmz.de/genus/providencia
Desulforegula,Desulforegula,Desulfobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/desulforegula
Pseudobizionia,Pseudobizionia,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/pseudobizionia
Denitrovibrio,Denitrovibrio,Deferribacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/denitrovibrio
Melioribacter,Melioribacter,Melioribacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/melioribacter
Lampropedia,Lampropedia,Comamonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/lampropedia
Methanosarcina,Methanosarcina,Methanosarcinaceae,correct name,genus,https://lpsn.dsmz.de/genus/methanosarcina
Tistrella,Tistrella,Geminicoccaceae,correct name,genus,https://lpsn.dsmz.de/genus/tistrella
Thermobispora,Thermobispora,Streptosporangiaceae,correct name,genus,https://lpsn.dsmz.de/genus/thermobispora
Agathobacter,Agathobacter,Lachnospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/agathobacter
Isachenkonia,Isachenkonia,Clostridiaceae,correct name,genus,https://lpsn.dsmz.de/genus/isachenkonia
Pseudaeromonas,Pseudaeromonas,Aeromonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/pseudaeromonas
Alkalibacter,Alkalibacter,Eubacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/alkalibacter
Chitinispirillum,Chitinispirillum,Chitinispirillaceae,correct name,genus,https://lpsn.dsmz.de/genus/chitinispirillum
Intestinimonas,Intestinimonas,Oscillospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/intestinimonas
Dehalogenimonas,Dehalogenimonas,Dehalococcoidaceae,correct name,genus,https://lpsn.dsmz.de/genus/dehalogenimonas
Limnohabitans,Limnohabitans,Comamonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/limnohabitans
Paenalkalicoccus,Paenalkalicoccus,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/paenalkalicoccus
Pokkaliibacter,Pokkaliibacter,Balneatricaceae,correct name,genus,https://lpsn.dsmz.de/genus/pokkaliibacter
Herbiconiux,Herbiconiux,Microbacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/herbiconiux
Occallatibacter,Occallatibacter,Acidobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/occallatibacter
Bremerella,Bremerella,Pirellulaceae,correct name,genus,https://lpsn.dsmz.de/genus/bremerella
Leadbetterella,Leadbetterella,Spirosomataceae,correct name,genus,https://lpsn.dsmz.de/genus/leadbetterella
Thermostilla,Thermostilla,Thermoguttaceae,correct name,genus,https://lpsn.dsmz.de/genus/thermostilla
Herpetosiphon,Herpetosiphon,Herpetosiphonaceae,correct name,genus,https://lpsn.dsmz.de/genus/herpetosiphon
Tamaricihabitans,Tamaricihabitans,Pseudonocardiaceae,correct name,genus,https://lpsn.dsmz.de/genus/tamaricihabitans
Bermanella,Bermanella,Oceanospirillaceae,correct name,genus,https://lpsn.dsmz.de/genus/bermanella
Convivina,Convivina,Leuconostocaceae,correct name,genus,https://lpsn.dsmz.de/genus/convivina
Baia,Baia,Thermoactinomycetaceae,correct name,genus,https://lpsn.dsmz.de/genus/baia
Taonella,Taonella,Sneathiellaceae,correct name,genus,https://lpsn.dsmz.de/genus/taonella
Flaviflagellibacter,Flaviflagellibacter,[Hyphomicrobiales; not assigned to family],correct name,genus,https://lpsn.dsmz.de/genus/flaviflagellibacter
Quadrisphaera,Quadrisphaera,Kineosporiaceae,correct name,genus,https://lpsn.dsmz.de/genus/quadrisphaera
Calditerricola,Calditerricola,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/calditerricola
Owenweeksia,Owenweeksia,Schleiferiaceae,correct name,genus,https://lpsn.dsmz.de/genus/owenweeksia
Sphaerisporangium,Sphaerisporangium,Streptosporangiaceae,correct name,genus,https://lpsn.dsmz.de/genus/sphaerisporangium
Litorihabitans,Litorihabitans,Beutenbergiaceae,correct name,genus,https://lpsn.dsmz.de/genus/litorihabitans
Gudongella,Gudongella,Tissierellaceae,correct name,genus,https://lpsn.dsmz.de/genus/gudongella
Nocardiopsis,Nocardiopsis,Nocardiopsidaceae,correct name,genus,https://lpsn.dsmz.de/genus/nocardiopsis
Saliniradius,Saliniradius,Alteromonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/saliniradius
Spelaeicoccus,Spelaeicoccus,Brevibacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/spelaeicoccus
Parashewanella,Parashewanella,Shewanellaceae,correct name,genus,https://lpsn.dsmz.de/genus/parashewanella
Agathobaculum,Agathobaculum,Oscillospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/agathobaculum
Thermocladium,Thermocladium,Thermoproteaceae,correct name,genus,https://lpsn.dsmz.de/genus/thermocladium
Methanotorris,Methanotorris,Methanocaldococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/methanotorris
Rhizobacter,Rhizobacter,Pseudomonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/rhizobacter
Klebsiella,Klebsiella,Enterobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/klebsiella
Amantichitinum,Amantichitinum,Neisseriaceae,correct name,genus,https://lpsn.dsmz.de/genus/amantichitinum
Teredinibacter,Teredinibacter,Cellvibrionaceae,correct name,genus,https://lpsn.dsmz.de/genus/teredinibacter
Hamadaea,Hamadaea,Micromonosporaceae,correct name,genus,https://lpsn.dsmz.de/genus/hamadaea
Sporanaerobacter,Sporanaerobacter,Tissierellaceae,correct name,genus,https://lpsn.dsmz.de/genus/sporanaerobacter
Rhodobaca,Rhodobaca,Paracoccaceae,correct name,genus,https://lpsn.dsmz.de/genus/rhodobaca
Rouxiella,Rouxiella,Yersiniaceae,correct name,genus,https://lpsn.dsmz.de/genus/rouxiella
Salinicola,Salinicola,Halomonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/salinicola
Hungatella,Hungatella,Clostridiaceae,correct name,genus,https://lpsn.dsmz.de/genus/hungatella
Acuticoccus,Acuticoccus,Amorphaceae,correct name,genus,https://lpsn.dsmz.de/genus/acuticoccus
Gardnerella,Gardnerella,Bifidobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/gardnerella
Terrisporobacter,Terrisporobacter,Clostridiaceae,correct name,genus,https://lpsn.dsmz.de/genus/terrisporobacter
Halolactibacillus,Halolactibacillus,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/halolactibacillus
Paeniglutamicibacter,Paeniglutamicibacter,Micrococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/paeniglutamicibacter
Devriesea,Devriesea,Dermabacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/devriesea
Aliifodinibius,Aliifodinibius,Balneolaceae,correct name,genus,https://lpsn.dsmz.de/genus/aliifodinibius
Chitinivorax,Chitinivorax,[Betaproteobacteria; not assigned to family],correct name,genus,https://lpsn.dsmz.de/genus/chitinivorax
Stagnimonas,Stagnimonas,Nevskiaceae,correct name,genus,https://lpsn.dsmz.de/genus/stagnimonas
Halanaerobaculum,Halanaerobaculum,Halobacteroidaceae,correct name,genus,https://lpsn.dsmz.de/genus/halanaerobaculum
Roseateles,Roseateles,Comamonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/roseateles
Catenibacillus,Catenibacillus,Lachnospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/catenibacillus
Halomethanococcus,Halomethanococcus,Methanosarcinaceae,correct name,genus,https://lpsn.dsmz.de/genus/halomethanococcus
Anaerolinea,Anaerolinea,Anaerolineaceae,correct name,genus,https://lpsn.dsmz.de/genus/anaerolinea
Dokdonia,Dokdonia,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/dokdonia
Haloplasma,Haloplasma,Haloplasmataceae,correct name,genus,https://lpsn.dsmz.de/genus/haloplasma
Sulfuriflexus,Sulfuriflexus,Granulosicoccaceae,correct name,genus,https://lpsn.dsmz.de/genus/sulfuriflexus
Porphyromonas,Porphyromonas,Porphyromonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/porphyromonas
Motilibacter,Motilibacter,Motilibacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/motilibacter
Margalitia,Margalitia,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/margalitia
Rubinisphaera,Rubinisphaera,Planctomycetaceae,correct name,genus,https://lpsn.dsmz.de/genus/rubinisphaera
Peptoclostridium,Peptoclostridium,Peptostreptococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/peptoclostridium
Aerosticca,Aerosticca,Rhodanobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/aerosticca
Acholeplasma,Acholeplasma,Acholeplasmataceae,correct name,genus,https://lpsn.dsmz.de/genus/acholeplasma
Spirillum,Spirillum,Spirillaceae,correct name,genus,https://lpsn.dsmz.de/genus/spirillum
Antarcticibacterium,Antarcticibacterium,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/antarcticibacterium
Salinisphaera,Salinisphaera,Salinisphaeraceae,correct name,genus,https://lpsn.dsmz.de/genus/salinisphaera
Mucilaginibacter,Mucilaginibacter,Sphingobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/mucilaginibacter
Haladaptatus,Haladaptatus,Halobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/haladaptatus
Rhodospira,Rhodospira,Rhodospirillaceae,correct name,genus,https://lpsn.dsmz.de/genus/rhodospira
Pisciglobus,Pisciglobus,Carnobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/pisciglobus
Sediminihabitans,Sediminihabitans,Promicromonosporaceae,correct name,genus,https://lpsn.dsmz.de/genus/sediminihabitans
Spirillospora,Spirillospora,Thermomonosporaceae,correct name,genus,https://lpsn.dsmz.de/genus/spirillospora
Ventosimonas,Ventosimonas,Ventosimonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/ventosimonas
Balneomonas,Balneomonas,Methylobacteriaceae,misspelling,genus,https://lpsn.dsmz.de/genus/balneomonas
Entomomonas,Entomomonas,Pseudomonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/entomomonas
Aquibium,Aquibium,Phyllobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/aquibium
Franklinella,Franklinella,Comamonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/franklinella
Geothermobacter,Geothermobacter,Geobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/geothermobacter
Marivivens,Marivivens,Roseobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/marivivens
Modestobacter,Modestobacter,Geodermatophilaceae,correct name,genus,https://lpsn.dsmz.de/genus/modestobacter
Methylorosula,Methylorosula,Beijerinckiaceae,correct name,genus,https://lpsn.dsmz.de/genus/methylorosula
Prevotella,Prevotella,Prevotellaceae,correct name,genus,https://lpsn.dsmz.de/genus/prevotella
Calidifontibacter,Calidifontibacter,Dermacoccaceae,correct name,genus,https://lpsn.dsmz.de/genus/calidifontibacter
Anaerovorax,Anaerovorax,[Eubacteriales; not assigned to family],correct name,genus,https://lpsn.dsmz.de/genus/anaerovorax
Truepera,Truepera,Trueperaceae,correct name,genus,https://lpsn.dsmz.de/genus/truepera
Rhabdothermus,Rhabdothermus,Thermaceae,correct name,genus,https://lpsn.dsmz.de/genus/rhabdothermus
Desulfurobacterium,Desulfurobacterium,Desulfurobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/desulfurobacterium
Scandinavium,Scandinavium,Enterobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/scandinavium
Butyricimonas,Butyricimonas,Odoribacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/butyricimonas
Goodfellowiella,Goodfellowiella,Pseudonocardiaceae,correct name,genus,https://lpsn.dsmz.de/genus/goodfellowiella
Chitiniphilus,Chitiniphilus,Chromobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/chitiniphilus
Acanthopleuribacter,Acanthopleuribacter,Acanthopleuribacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/acanthopleuribacter
Edwardsiella,Edwardsiella,Hafniaceae,correct name,genus,https://lpsn.dsmz.de/genus/edwardsiella
Athalassotoga,Athalassotoga,Mesoaciditogaceae,correct name,genus,https://lpsn.dsmz.de/genus/athalassotoga
Exiguobacterium,Exiguobacterium,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/exiguobacterium
Gordonibacter,Gordonibacter,Eggerthellaceae,correct name,genus,https://lpsn.dsmz.de/genus/gordonibacter
Winogradskyella,Winogradskyella,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/winogradskyella
Mariniradius,Mariniradius,Cyclobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/mariniradius
Haliangium,Haliangium,Kofleriaceae,correct name,genus,https://lpsn.dsmz.de/genus/haliangium
Luteivirga,Luteivirga,[Cytophagales; not assigned to family],correct name,genus,https://lpsn.dsmz.de/genus/luteivirga
Cucumibacter,Cucumibacter,Devosiaceae,correct name,genus,https://lpsn.dsmz.de/genus/cucumibacter
Rhodococcus,Rhodococcus,Nocardiaceae,correct name,genus,https://lpsn.dsmz.de/genus/rhodococcus
Gemmatimonas,Gemmatimonas,Gemmatimonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/gemmatimonas
Mucibacter,Mucibacter,Chitinophagaceae,correct name,genus,https://lpsn.dsmz.de/genus/mucibacter
Indioceanicola,Indioceanicola,Rhodospirillaceae,correct name,genus,https://lpsn.dsmz.de/genus/indioceanicola
Extensimonas,Extensimonas,Comamonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/extensimonas
Pragia,Pragia,Budviciaceae,correct name,genus,https://lpsn.dsmz.de/genus/pragia
Exilispira,Exilispira,[Spirochaetia; not assigned to family],correct name,genus,https://lpsn.dsmz.de/genus/exilispira
Corticimicrobacter,Corticimicrobacter,Alcaligenaceae,correct name,genus,https://lpsn.dsmz.de/genus/corticimicrobacter
Anaerophaga,Anaerophaga,Marinilabiliaceae,correct name,genus,https://lpsn.dsmz.de/genus/anaerophaga
Luteolibacter,Luteolibacter,Verrucomicrobiaceae,correct name,genus,https://lpsn.dsmz.de/genus/luteolibacter
Sinibacillus,Sinibacillus,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/sinibacillus
Segeticoccus,Segeticoccus,Intrasporangiaceae,correct name,genus,https://lpsn.dsmz.de/genus/segeticoccus
