name,type_name,parent,status,rank,address
Arhodomonas,Arhodomonas,Ectothiorhodospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/arhodomonas
Sulfurovum,Sulfurovum,Helicobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/sulfurovum
Thalassorhabdus,Thalassorhabdus,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/thalassorhabdus
Allofrancisella,Allofrancisella,Francisellaceae,correct name,genus,https://lpsn.dsmz.de/genus/allofrancisella
Balneicella,Balneicella,Balneicellaceae,correct name,genus,https://lpsn.dsmz.de/genus/balneicella
Dialister,Dialister,Veillonellaceae,correct name,genus,https://lpsn.dsmz.de/genus/dialister
Lottiidibacillus,Lottiidibacillus,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/lottiidibacillus
Rhodoferax,Rhodoferax,Comamonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/rhodoferax
Thermogemmatispora,Thermogemmatispora,Thermogemmatisporaceae,correct name,genus,https://lpsn.dsmz.de/genus/thermogemmatispora
Rhodovarius,Rhodovarius,Acetobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/rhodovarius
Siphonobacter,Siphonobacter,Spirosomataceae,correct name,genus,https://lpsn.dsmz.de/genus/siphonobacter
Rudanella,Rudanella,Spirosomataceae,correct name,genus,https://lpsn.dsmz.de/genus/rudanella
Bergeyella,Bergeyella,Weeksellaceae,correct name,genus,https://lpsn.dsmz.de/genus/bergeyella
Gynuella,Gynuella,Gynuellaceae,correct name,genus,https://lpsn.dsmz.de/genus/gynuella
Shimia,Shimia,Roseobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/shimia
Shewanella,Shewanella,Shewanellaceae,correct name,genus,https://lpsn.dsmz.de/genus/shewanella
Sabulibacter,Sabulibacter,Hymenobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/sabulibacter
Haemophilus,Haemophilus,Pasteurellaceae,correct name,genus,https://lpsn.dsmz.de/genus/haemophilus
Halolamina,Halolamina,Halorubraceae,correct name,genus,https://lpsn.dsmz.de/genus/halolamina
Parendozoicomonas,Parendozoicomonas,Endozoicomonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/parendozoicomonas
Anaerobiospirillum,Anaerobiospirillum,Succinivibrionaceae,correct name,genus,https://lpsn.dsmz.de/genus/anaerobiospirillum
Veillonella,Veillonella,Veillonellaceae,correct name,genus,https://lpsn.dsmz.de/genus/veillonella
Fibrisoma,Fibrisoma,Spirosomataceae,correct name,genus,https://lpsn.dsmz.de/genus/fibrisoma
Tannerella,Tannerella,Tannerellaceae,correct name,genus,https://lpsn.dsmz.de/genus/tannerella
Thermoactinomyces,Thermoactinomyces,Thermoactinomycetaceae,correct name,genus,https://lpsn.dsmz.de/genus/thermoactinomyces
Fusobacterium,Fusobacterium,Fusobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/fusobacterium
Stenoxybacter,Stenoxybacter,Neisseriaceae,correct name,genus,https://lpsn.dsmz.de/genus/stenoxybacter
Negativibacillus,Negativibacillus,[Bacillota; not assigned to family],correct name,genus,https://lpsn.dsmz.de/genus/negativibacillus
Blautia,Blautia,Lachnospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/blautia
Plesiomonas,Plesiomonas,Enterobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/plesiomonas
Phaseolibacter,Phaseolibacter,Erwiniaceae,correct name,genus,https://lpsn.dsmz.de/genus/phaseolibacter
Komagataeibacter,Komagataeibacter,Acetobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/komagataeibacter
Tepidicella,Tepidicella,Comamonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/tepidicella
Roseisalinus,Roseisalinus,Roseobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/roseisalinus
Desulfovirga,Desulfovirga,Syntrophobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/desulfovirga
Tichowtungia,Tichowtungia,Tichowtungiaceae,correct name,genus,https://lpsn.dsmz.de/genus/tichowtungia
Oxalicibacterium,Oxalicibacterium,Oxalobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/oxalicibacterium
