genus_name,type_species,parental_family,lpsn_no,nom_type,status,address
Paeniglutamicibacter,Paeniglutamicibacter sulfureus,Micrococcaceae,518965,774237,correct name,https://lpsn.dsmz.de/genus/paeniglutamicibacter
Intestinimonas,Intestinimonas butyriciproducens,Oscillospiraceae,518469,791401,correct name,https://lpsn.dsmz.de/genus/intestinimonas
Thalassocella,Thalassocella blandensis,Cellvibrionaceae,4958,5829,correct name,https://lpsn.dsmz.de/genus/thalassocella
Gracilibacillus,Gracilibacillus halotolerans,Bacillaceae,517043,776607,correct name,https://lpsn.dsmz.de/genus/gracilibacillus
Constantimarinum,Constantimarinum furrinae,Flavobacteriaceae,39667,39675,correct name,https://lpsn.dsmz.de/genus/constantimarinum
Insolitispirillum,Insolitispirillum peregrinum,Rhodospirillaceae,517704,787037,correct name,https://lpsn.dsmz.de/genus/insolitispirillum
Yokenella,Yokenella regensburgei,Enterobacteriaceae,516948,783205,correct name,https://lpsn.dsmz.de/genus/yokenella
Formosa,Formosa algae,Flavobacteriaceae,515652,783869,correct name,https://lpsn.dsmz.de/genus/formosa
Coenonia,Coenonia anatina,Flavobacteriaceae,517205,783680,correct name,https://lpsn.dsmz.de/genus/coenonia
Halarsenatibacter,Halarsenatibacter silvermanii,Halanaerobiaceae,518005,788673,correct name,https://lpsn.dsmz.de/genus/halarsenatibacter
Sirenicapillaria,Sirenicapillaria stauglerae,Sirenicapillariaceae,28282,28285,correct name,https://lpsn.dsmz.de/genus/sirenicapillaria
Sacconema,Sacconema rupestre,Rivulariaceae,6414,8103,correct name,https://lpsn.dsmz.de/genus/sacconema
Gallibacterium,Gallibacterium anatis,Pasteurellaceae,515673,776420,correct name,https://lpsn.dsmz.de/genus/gallibacterium
Demequina,Demequina aestuarii,Demequinaceae,517498,785847,correct name,https://lpsn.dsmz.de/genus/demequina
Pseudorhodobacter,Pseudorhodobacter ferrugineus,Paracoccaceae,516423,780193,correct name,https://lpsn.dsmz.de/genus/pseudorhodobacter
Tengunoibacter,Tengunoibacter tsumagoiensis,Dictyobacteraceae,521873,801287,correct name,https://lpsn.dsmz.de/genus/tengunoibacter
Mobilitalea,Mobilitalea sibirica,Lachnospiraceae,518591,792022,correct name,https://lpsn.dsmz.de/genus/mobilitalea
Pseudonocardia,Pseudonocardia thermophila,Pseudonocardiaceae,516421,780188,correct name,https://lpsn.dsmz.de/genus/pseudonocardia
Thermosporothrix,Thermosporothrix hazakensis,Thermosporotrichaceae,518008,788710,correct name,https://lpsn.dsmz.de/genus/thermosporothrix
Hydrogenothermus,Hydrogenothermus marinus,Hydrogenothermaceae,515826,776953,correct name,https://lpsn.dsmz.de/genus/hydrogenothermus
Eionea,Eionea nigra,Cellvibrionaceae,517682,786836,correct name,https://lpsn.dsmz.de/genus/eionea
Dendronalium,Dendronalium phyllosphericum,Nostocaceae,19502,19514,correct name,https://lpsn.dsmz.de/genus/dendronalium
Umboniibacter,Umboniibacter marinipuniceus,Cellvibrionaceae,517955,788425,correct name,https://lpsn.dsmz.de/genus/umboniibacter
Anabaenothrix,Anabaenothrix epiphytica,Nostocaceae,17847,18626,correct name,https://lpsn.dsmz.de/genus/anabaenothrix
Roseateles,Roseateles depolymerans,Comamonadaceae,516494,780563,correct name,https://lpsn.dsmz.de/genus/roseateles
Cyanodermatium,Cyanodermatium gelatinosum,Entophysalidaceae,6230,8025,correct name,https://lpsn.dsmz.de/genus/cyanodermatium
Aurantiacicella,Aurantiacicella marina,Flavobacteriaceae,518866,793744,correct name,https://lpsn.dsmz.de/genus/aurantiacicella
Cyanosaccus,Cyanosaccus piriformis,Hyellaceae,6270,8062,correct name,https://lpsn.dsmz.de/genus/cyanosaccus
Acetanaerobacterium,Acetanaerobacterium elongatum,Oscillospiraceae,517160,783232,correct name,https://lpsn.dsmz.de/genus/acetanaerobacterium
Desulforegula,Desulforegula conservatrix,Desulfobacteraceae,517022,775602,correct name,https://lpsn.dsmz.de/genus/desulforegula
Persicobacter,Persicobacter diffluens,Persicobacteraceae,516292,779404,correct name,https://lpsn.dsmz.de/genus/persicobacter
Algimonas,Algimonas porphyrae,Hyphomonadaceae,518292,790404,correct name,https://lpsn.dsmz.de/genus/algimonas
Schlesneria,Schlesneria paludicola,Planctomycetaceae,517694,786941,correct name,https://lpsn.dsmz.de/genus/schlesneria
Inacoccus,Inacoccus carmineus,Chroococcaceae,33076,34963,correct name,https://lpsn.dsmz.de/genus/inacoccus
Globicatella,Globicatella sanguinis,Aerococcaceae,515707,776521,correct name,https://lpsn.dsmz.de/genus/globicatella
Altererythrobacter,Altererythrobacter epoxidivorans,Erythrobacteraceae,517674,786798,correct name,https://lpsn.dsmz.de/genus/altererythrobacter
Acidihalobacter,Acidihalobacter prosperus,Ectothiorhodospiraceae,515007,793279,correct name,https://lpsn.dsmz.de/genus/acidihalobacter
Lagosinema,Lagosinema tenue,Pseudanabaenaceae,21607,37367,correct name,https://lpsn.dsmz.de/genus/lagosinema
Cumulibacter,Cumulibacter manganitolerans,Antricoccaceae,519224,795659,correct name,https://lpsn.dsmz.de/genus/cumulibacter
Thiomicrospira,Thiomicrospira pelophila,Piscirickettsiaceae,517438,782753,correct name,https://lpsn.dsmz.de/genus/thiomicrospira
Denitrobaculum,Denitrobaculum tricleocarpae,Rhodospirillaceae,7443,7479,correct name,https://lpsn.dsmz.de/genus/denitrobaculum
Gymnodinialimonas,Gymnodinialimonas ceratoperidinii,Paracoccaceae,12267,12303,correct name,https://lpsn.dsmz.de/genus/gymnodinialimonas
Negativicoccus,Negativicoccus succinicivorans,Veillonellaceae,517981,788574,correct name,https://lpsn.dsmz.de/genus/negativicoccus
Thermospira,Thermospira aquatica,Thermospiraceae,36027,36030,correct name,https://lpsn.dsmz.de/genus/thermospira
Marinibacterium,Marinibacterium profundimaris,Roseobacteraceae,518832,793511,correct name,https://lpsn.dsmz.de/genus/marinibacterium
Ventosimonas,Ventosimonas gracilis,Ventosimonadaceae,518993,794403,correct name,https://lpsn.dsmz.de/genus/ventosimonas
Loigolactobacillus,Loigolactobacillus coryniformis,Lactobacillaceae,10496,10746,correct name,https://lpsn.dsmz.de/genus/loigolactobacillus
Balneicella,Balneicella halophila,Balneicellaceae,519078,794804,correct name,https://lpsn.dsmz.de/genus/balneicella
Moryella,Moryella indoligenes,Lachnospiraceae,517532,786117,correct name,https://lpsn.dsmz.de/genus/moryella
Thermanaeromonas,Thermanaeromonas toyohensis,Thermoanaerobacteraceae,516773,782479,correct name,https://lpsn.dsmz.de/genus/thermanaeromonas
Minunostoc,Minunostoc cylindricum,Nostocaceae,6421,6553,correct name,https://lpsn.dsmz.de/genus/minunostoc
Terrimicrobium,Terrimicrobium sacchariphilum,Terrimicrobiaceae,518536,791764,correct name,https://lpsn.dsmz.de/genus/terrimicrobium
Woodsholea,Woodsholea maritima,Maricaulaceae,516928,783118,correct name,https://lpsn.dsmz.de/genus/woodsholea
Anaerosalibacter,Anaerosalibacter bizertensis,Tissierellaceae,518259,790209,correct name,https://lpsn.dsmz.de/genus/anaerosalibacter
Methylotuvimicrobium,Methylotuvimicrobium alcaliphilum,[Methylococcales; not assigned to family],521800,801368,correct name,https://lpsn.dsmz.de/genus/methylotuvimicrobium
Anaerococcus,Anaerococcus prevotii,Peptoniphilaceae,515119,773247,correct name,https://lpsn.dsmz.de/genus/anaerococcus
Fulvimonas,Fulvimonas soli,Rhodanobacteraceae,515660,776329,correct name,https://lpsn.dsmz.de/genus/fulvimonas
Azorhizophilus,Azorhizophilus paspali,Pseudomonadaceae,515214,773588,correct name,https://lpsn.dsmz.de/genus/azorhizophilus
Marichromatium,Marichromatium gracile,Chromatiaceae,516006,777673,correct name,https://lpsn.dsmz.de/genus/marichromatium
Pelagibacterium,Pelagibacterium halotolerans,Devosiaceae,518115,789381,correct name,https://lpsn.dsmz.de/genus/pelagibacterium
Basfia,Basfia succiniciproducens,Pasteurellaceae,517936,788309,correct name,https://lpsn.dsmz.de/genus/basfia
Planctopirus,Planctopirus limnophila,Planctomycetaceae,518694,792654,correct name,https://lpsn.dsmz.de/genus/planctopirus
Limisalsivibrio,Limisalsivibrio acetivorans,Geovibrionaceae,30205,30224,correct name,https://lpsn.dsmz.de/genus/limisalsivibrio
Oceanipulchritudo,Oceanipulchritudo coccoides,Puniceicoccaceae,14520,14640,correct name,https://lpsn.dsmz.de/genus/oceanipulchritudo
Marinirhabdus,Marinirhabdus gelatinilytica,Flavobacteriaceae,518985,794345,correct name,https://lpsn.dsmz.de/genus/marinirhabdus
Dasygloea,Dasygloea amorpha,Schizotrichaceae,6351,8030,correct name,https://lpsn.dsmz.de/genus/dasygloea
Haloimpatiens,Haloimpatiens lingqiaonensis,Clostridiaceae,518885,793818,correct name,https://lpsn.dsmz.de/genus/haloimpatiens
Jinshanibacter,Jinshanibacter zhutongyuii,Budviciaceae,18078,18086,correct name,https://lpsn.dsmz.de/genus/jinshanibacter
Terrilactibacillus,Terrilactibacillus laevilacticus,Bacillaceae,518916,793949,correct name,https://lpsn.dsmz.de/genus/terrilactibacillus
Lyngbyopsis,Lyngbyopsis willei,Microcoleaceae,6223,8074,correct name,https://lpsn.dsmz.de/genus/lyngbyopsis
Achromatium,Achromatium oxaliferum,Achromatiaceae,517162,783263,correct name,https://lpsn.dsmz.de/genus/achromatium
Poriferisphaera,Poriferisphaera corsica,Phycisphaeraceae,19584,19597,correct name,https://lpsn.dsmz.de/genus/poriferisphaera
Cryomorpha,Cryomorpha ignava,Cryomorphaceae,517216,783712,correct name,https://lpsn.dsmz.de/genus/cryomorpha
Thermoflexibacter,Thermoflexibacter ruber,Thermoflexibacteraceae,519190,795356,correct name,https://lpsn.dsmz.de/genus/thermoflexibacter
Purpureonostoc,Purpureonostoc tibeticum,Nodulariaceae,21488,29298,correct name,https://lpsn.dsmz.de/genus/purpureonostoc
Urechidicola,Urechidicola croceus,Flavobacteriaceae,4971,5904,correct name,https://lpsn.dsmz.de/genus/urechidicola
Paludibaculum,Paludibaculum fermentans,Bryobacteraceae,518593,792032,correct name,https://lpsn.dsmz.de/genus/paludibaculum
Promicromonospora,Promicromonospora citrea,Promicromonosporaceae,516388,779810,correct name,https://lpsn.dsmz.de/genus/promicromonospora
Coprococcus,Coprococcus eutactus,Lachnospiraceae,517207,783693,correct name,https://lpsn.dsmz.de/genus/coprococcus
Inquilinus,Inquilinus limosus,Azospirillaceae,515852,777035,correct name,https://lpsn.dsmz.de/genus/inquilinus
Szabonella,Szabonella alba,Paracoccaceae,28340,28342,correct name,https://lpsn.dsmz.de/genus/szabonella
Desulfosporosinus,Desulfosporosinus orientis,Desulfitobacteriaceae,515511,775614,correct name,https://lpsn.dsmz.de/genus/desulfosporosinus
Desulfofarcimen,Desulfofarcimen acetoxidans,Peptococcaceae,520399,798395,correct name,https://lpsn.dsmz.de/genus/desulfofarcimen
Methanogenium,Methanogenium cariaci,Methanomicrobiaceae,517071,777882,correct name,https://lpsn.dsmz.de/genus/methanogenium
Jutongia,Jutongia huaianensis,Lachnospiraceae,28818,28893,correct name,https://lpsn.dsmz.de/genus/jutongia
Paracoccus,Paracoccus denitrificans,Paracoccaceae,516256,779156,correct name,https://lpsn.dsmz.de/genus/paracoccus
Elainella,Elainella saxicola,Oculatellaceae,6356,7996,correct name,https://lpsn.dsmz.de/genus/elainella
Entomoplasma,Entomoplasma ellychniae,Entomoplasmataceae,517227,783779,correct name,https://lpsn.dsmz.de/genus/entomoplasma
